Date,Team 1,FT,Team 2,Season
Apr 23 1994,MSV Duisburg,1-2,Karlsruher SC,1993-94
Apr 23 1994,Hamburger SV,1-3,Bor. Mönchengladbach,1993-94
Apr 23 1994,VfB Leipzig (-2004),2-2,FC Schalke 04,1993-94
Apr 23 1994,Bayer 04 Leverkusen,1-1,Dynamo Dresden,1993-94
Apr 23 1994,SG Wattenscheid 09,0-2,1. FC Kaiserslautern,1993-94
Apr 23 1994,Werder Bremen,3-1,1. FC Köln,1993-94
Apr 23 1994,VfB Stuttgart,0-4,SC Freiburg,1993-94
Apr 30 1994,Dynamo Dresden,1-0,Werder Bremen,1993-94
Apr 30 1994,Eintracht Frankfurt,1-1,Hamburger SV,1993-94
Apr 30 1994,SC Freiburg,1-0,VfB Leipzig (-2004),1993-94
Apr 30 1994,1. FC Kaiserslautern,2-0,Borussia Dortmund,1993-94
Apr 30 1994,Karlsruher SC,1-1,Bayern Munich,1993-94
Apr 30 1994,Bayer 04 Leverkusen,1-1,VfB Stuttgart,1993-94
Apr 30 1994,Bor. Mönchengladbach,4-1,1. FC Köln,1993-94
Apr 30 1994,1. FC Nürnberg,4-1,SG Wattenscheid 09,1993-94
Apr 30 1994,FC Schalke 04,1-3,MSV Duisburg,1993-94
May 7 1994,Bayern Munich,2-0,FC Schalke 04,1993-94
May 7 1994,Borussia Dortmund,4-1,1. FC Nürnberg,1993-94
May 7 1994,MSV Duisburg,0-2,SC Freiburg,1993-94
May 7 1994,1. FC Köln,2-3,Eintracht Frankfurt,1993-94
May 7 1994,Hamburger SV,1-3,1. FC Kaiserslautern,1993-94
May 7 1994,VfB Leipzig (-2004),2-3,Bayer 04 Leverkusen,1993-94
May 7 1994,VfB Stuttgart,3-0,Dynamo Dresden,1993-94
May 7 1994,SG Wattenscheid 09,5-1,Karlsruher SC,1993-94
May 7 1994,Werder Bremen,4-2,Bor. Mönchengladbach,1993-94
Aug 19 1994,Bayer 04 Leverkusen,0-1,1. FC Kaiserslautern,1994-95
Aug 19 1994,FC Schalke 04,1-1,Bor. Mönchengladbach,1994-95
Aug 19 1994,VfB Stuttgart,2-1,Hamburger SV,1994-95
Aug 20 1994,Borussia Dortmund,4-0,TSV 1860 Munich,1994-95
Aug 20 1994,Bayern Munich,3-1,VfL Bochum,1994-95
Aug 20 1994,Dynamo Dresden,1-1,Werder Bremen,1994-95
Aug 20 1994,KFC Uerdingen,1-1,MSV Duisburg,1994-95
Aug 20 1994,Karlsruher SC,2-0,SC Freiburg,1994-95
Aug 20 1994,Eintracht Frankfurt,0-0,1. FC Köln,1994-95
Aug 23 1994,VfL Bochum,2-0,Dynamo Dresden,1994-95
Aug 23 1994,1. FC Köln,1-6,Borussia Dortmund,1994-95
Aug 23 1994,SC Freiburg,5-1,Bayern Munich,1994-95
Aug 23 1994,TSV 1860 Munich,0-2,VfB Stuttgart,1994-95
Aug 23 1994,1. FC Kaiserslautern,1-1,Eintracht Frankfurt,1994-95
Aug 24 1994,MSV Duisburg,2-2,FC Schalke 04,1994-95
Aug 24 1994,Hamburger SV,0-0,KFC Uerdingen,1994-95
Aug 24 1994,Werder Bremen,3-2,Bayer 04 Leverkusen,1994-95
Aug 24 1994,Bor. Mönchengladbach,2-2,Karlsruher SC,1994-95
Aug 26 1994,Borussia Dortmund,2-1,1. FC Kaiserslautern,1994-95
Aug 26 1994,Dynamo Dresden,1-3,SC Freiburg,1994-95
Aug 27 1994,Bayern Munich,3-0,Bor. Mönchengladbach,1994-95
Aug 27 1994,Karlsruher SC,4-1,MSV Duisburg,1994-95
Aug 27 1994,Werder Bremen,3-0,VfL Bochum,1994-95
Aug 27 1994,VfB Stuttgart,2-2,1. FC Köln,1994-95
Aug 27 1994,KFC Uerdingen,1-1,TSV 1860 Munich,1994-95
Aug 27 1994,FC Schalke 04,0-1,Hamburger SV,1994-95
Aug 28 1994,Bayer 04 Leverkusen,4-0,Eintracht Frankfurt,1994-95
Sep 2 1994,SC Freiburg,1-3,Werder Bremen,1994-95
Sep 2 1994,MSV Duisburg,0-3,Bayern Munich,1994-95
Sep 2 1994,Bor. Mönchengladbach,2-0,Dynamo Dresden,1994-95
Sep 3 1994,VfL Bochum,1-3,Bayer 04 Leverkusen,1994-95
Sep 3 1994,Eintracht Frankfurt,4-1,Borussia Dortmund,1994-95
Sep 3 1994,1. FC Köln,2-0,KFC Uerdingen,1994-95
Sep 3 1994,Hamburger SV,3-1,Karlsruher SC,1994-95
Sep 3 1994,1. FC Kaiserslautern,3-2,VfB Stuttgart,1994-95
Sep 3 1994,TSV 1860 Munich,0-1,FC Schalke 04,1994-95
Sep 17 1994,Bayern Munich,1-1,Hamburger SV,1994-95
Sep 17 1994,VfL Bochum,1-3,SC Freiburg,1994-95
Sep 17 1994,Dynamo Dresden,4-2,MSV Duisburg,1994-95
Sep 17 1994,Karlsruher SC,3-1,TSV 1860 Munich,1994-95
Sep 17 1994,Werder Bremen,1-0,Bor. Mönchengladbach,1994-95
Sep 17 1994,FC Schalke 04,3-1,1. FC Köln,1994-95
Sep 17 1994,VfB Stuttgart,4-1,Eintracht Frankfurt,1994-95
Sep 17 1994,KFC Uerdingen,1-3,1. FC Kaiserslautern,1994-95
Sep 17 1994,Bayer 04 Leverkusen,2-2,Borussia Dortmund,1994-95
Sep 21 1994,TSV 1860 Munich,1-3,Bayern Munich,1994-95
Sep 23 1994,Eintracht Frankfurt,0-3,KFC Uerdingen,1994-95
Sep 23 1994,1. FC Köln,3-4,Karlsruher SC,1994-95
Sep 24 1994,MSV Duisburg,0-2,Werder Bremen,1994-95
Sep 24 1994,Borussia Dortmund,5-0,VfB Stuttgart,1994-95
Sep 24 1994,Bor. Mönchengladbach,7-1,VfL Bochum,1994-95
Sep 24 1994,Hamburger SV,2-1,Dynamo Dresden,1994-95
Sep 24 1994,1. FC Kaiserslautern,3-1,FC Schalke 04,1994-95
Sep 24 1994,SC Freiburg,1-1,Bayer 04 Leverkusen,1994-95
Sep 30 1994,Dynamo Dresden,1-1,TSV 1860 Munich,1994-95
Sep 30 1994,VfL Bochum,1-0,MSV Duisburg,1994-95
Oct 1 1994,Bayern Munich,2-2,1. FC Köln,1994-95
Oct 1 1994,Karlsruher SC,3-3,1. FC Kaiserslautern,1994-95
Oct 1 1994,Bayer 04 Leverkusen,3-1,VfB Stuttgart,1994-95
Oct 1 1994,KFC Uerdingen,0-2,Borussia Dortmund,1994-95
Oct 1 1994,FC Schalke 04,0-0,Eintracht Frankfurt,1994-95
Oct 2 1994,SC Freiburg,1-1,Bor. Mönchengladbach,1994-95
Oct 5 1994,1. FC Kaiserslautern,1-1,Bayern Munich,1994-95
Oct 6 1994,Werder Bremen,1-4,Hamburger SV,1994-95
Oct 8 1994,Borussia Dortmund,3-2,FC Schalke 04,1994-95
Oct 8 1994,MSV Duisburg,1-2,SC Freiburg,1994-95
Oct 8 1994,Eintracht Frankfurt,1-0,Karlsruher SC,1994-95
Oct 8 1994,1. FC Köln,1-2,Dynamo Dresden,1994-95
Oct 8 1994,Hamburger SV,3-1,VfL Bochum,1994-95
Oct 8 1994,Bor. Mönchengladbach,3-3,Bayer 04 Leverkusen,1994-95
Oct 8 1994,TSV 1860 Munich,1-2,Werder Bremen,1994-95
Oct 8 1994,VfB Stuttgart,3-1,KFC Uerdingen,1994-95
Oct 15 1994,Bayern Munich,3-3,Eintracht Frankfurt,1994-95
Oct 15 1994,VfL Bochum,2-2,TSV 1860 Munich,1994-95
Oct 15 1994,Dynamo Dresden,1-0,1. FC Kaiserslautern,1994-95
Oct 15 1994,SC Freiburg,3-0,Hamburger SV,1994-95
Oct 15 1994,Karlsruher SC,0-0,Borussia Dortmund,1994-95
Oct 15 1994,Werder Bremen,2-2,1. FC Köln,1994-95
Oct 15 1994,Bor. Mönchengladbach,1-0,MSV Duisburg,1994-95
Oct 15 1994,FC Schalke 04,1-1,VfB Stuttgart,1994-95
Oct 15 1994,Bayer 04 Leverkusen,1-1,KFC Uerdingen,1994-95
Oct 22 1994,Borussia Dortmund,1-0,Bayern Munich,1994-95
Oct 22 1994,MSV Duisburg,0-2,Bayer 04 Leverkusen,1994-95
Oct 22 1994,Eintracht Frankfurt,2-0,Dynamo Dresden,1994-95
Oct 22 1994,1. FC Köln,2-1,VfL Bochum,1994-95
Oct 22 1994,KFC Uerdingen,1-1,FC Schalke 04,1994-95
Oct 22 1994,TSV 1860 Munich,4-0,SC Freiburg,1994-95
Oct 22 1994,VfB Stuttgart,4-0,Karlsruher SC,1994-95
Oct 22 1994,Hamburger SV,1-2,Bor. Mönchengladbach,1994-95
Oct 23 1994,1. FC Kaiserslautern,1-1,Werder Bremen,1994-95
Oct 28 1994,VfL Bochum,0-2,1. FC Kaiserslautern,1994-95
Oct 29 1994,Bayern Munich,2-2,VfB Stuttgart,1994-95
Oct 29 1994,Dynamo Dresden,0-1,Borussia Dortmund,1994-95
Oct 29 1994,SC Freiburg,4-2,1. FC Köln,1994-95
Oct 29 1994,Karlsruher SC,2-1,KFC Uerdingen,1994-95
Oct 29 1994,Werder Bremen,2-0,Eintracht Frankfurt,1994-95
Oct 29 1994,Bor. Mönchengladbach,2-0,TSV 1860 Munich,1994-95
Oct 29 1994,Bayer 04 Leverkusen,2-2,FC Schalke 04,1994-95
Oct 30 1994,MSV Duisburg,0-5,Hamburger SV,1994-95
Nov 4 1994,VfB Stuttgart,4-2,Dynamo Dresden,1994-95
Nov 4 1994,FC Schalke 04,0-0,Karlsruher SC,1994-95
Nov 5 1994,Eintracht Frankfurt,2-1,VfL Bochum,1994-95
Nov 5 1994,1. FC Köln,1-3,Bor. Mönchengladbach,1994-95
Nov 5 1994,Hamburger SV,1-2,Bayer 04 Leverkusen,1994-95
Nov 5 1994,1. FC Kaiserslautern,3-2,SC Freiburg,1994-95
Nov 5 1994,KFC Uerdingen,1-1,Bayern Munich,1994-95
Nov 5 1994,TSV 1860 Munich,1-1,MSV Duisburg,1994-95
Nov 6 1994,Borussia Dortmund,2-0,Werder Bremen,1994-95
Nov 11 1994,VfL Bochum,0-2,Borussia Dortmund,1994-95
Nov 11 1994,Bor. Mönchengladbach,4-0,1. FC Kaiserslautern,1994-95
Nov 12 1994,Bayern Munich,2-0,FC Schalke 04,1994-95
Nov 12 1994,Dynamo Dresden,1-2,KFC Uerdingen,1994-95
Nov 12 1994,MSV Duisburg,1-3,1. FC Köln,1994-95
Nov 12 1994,SC Freiburg,2-0,Eintracht Frankfurt,1994-95
Nov 12 1994,Werder Bremen,4-0,VfB Stuttgart,1994-95
Nov 12 1994,Bayer 04 Leverkusen,0-0,Karlsruher SC,1994-95
Nov 13 1994,Hamburger SV,3-0,TSV 1860 Munich,1994-95
Nov 18 1994,1. FC Köln,1-1,Hamburger SV,1994-95
Nov 18 1994,FC Schalke 04,4-0,Dynamo Dresden,1994-95
Nov 19 1994,Borussia Dortmund,1-1,SC Freiburg,1994-95
Nov 19 1994,Eintracht Frankfurt,2-1,Bor. Mönchengladbach,1994-95
Nov 19 1994,1. FC Kaiserslautern,1-0,MSV Duisburg,1994-95
Nov 19 1994,Karlsruher SC,2-2,Bayern Munich,1994-95
Nov 19 1994,KFC Uerdingen,1-3,Werder Bremen,1994-95
Nov 19 1994,VfB Stuttgart,2-2,VfL Bochum,1994-95
Nov 19 1994,TSV 1860 Munich,1-1,Bayer 04 Leverkusen,1994-95
Nov 25 1994,Werder Bremen,2-1,FC Schalke 04,1994-95
Nov 25 1994,VfL Bochum,2-1,KFC Uerdingen,1994-95
Nov 26 1994,Bor. Mönchengladbach,3-3,Borussia Dortmund,1994-95
Nov 26 1994,Dynamo Dresden,1-1,Karlsruher SC,1994-95
Nov 26 1994,1. FC Köln,2-1,TSV 1860 Munich,1994-95
Nov 26 1994,SC Freiburg,2-0,VfB Stuttgart,1994-95
Nov 26 1994,Hamburger SV,0-0,1. FC Kaiserslautern,1994-95
Nov 26 1994,Bayern Munich,2-1,Bayer 04 Leverkusen,1994-95
Nov 27 1994,MSV Duisburg,1-0,Eintracht Frankfurt,1994-95
Nov 29 1994,VfL Bochum,0-1,Karlsruher SC,1994-95
Nov 29 1994,1. FC Köln,0-1,1. FC Kaiserslautern,1994-95
Nov 29 1994,Bor. Mönchengladbach,1-0,KFC Uerdingen,1994-95
Dec 2 1994,1. FC Kaiserslautern,1-1,TSV 1860 Munich,1994-95
Dec 3 1994,Bayer 04 Leverkusen,3-1,1. FC Köln,1994-95
Dec 3 1994,VfB Stuttgart,2-4,Bor. Mönchengladbach,1994-95
Dec 3 1994,FC Schalke 04,3-2,VfL Bochum,1994-95
Dec 3 1994,KFC Uerdingen,0-2,SC Freiburg,1994-95
Dec 3 1994,Karlsruher SC,3-1,Werder Bremen,1994-95
Dec 3 1994,Borussia Dortmund,1-0,MSV Duisburg,1994-95
Dec 3 1994,Bayern Munich,2-1,Dynamo Dresden,1994-95
Dec 3 1994,Eintracht Frankfurt,2-0,Hamburger SV,1994-95
Dec 10 1994,Dynamo Dresden,1-1,Bayer 04 Leverkusen,1994-95
Dec 10 1994,Werder Bremen,0-0,Bayern Munich,1994-95
Dec 10 1994,TSV 1860 Munich,2-1,Eintracht Frankfurt,1994-95
Dec 10 1994,Hamburger SV,0-4,Borussia Dortmund,1994-95
Dec 10 1994,MSV Duisburg,2-0,VfB Stuttgart,1994-95
Dec 10 1994,SC Freiburg,3-0,FC Schalke 04,1994-95
Feb 17 1995,SC Freiburg,2-1,Karlsruher SC,1994-95
Feb 17 1995,1. FC Köln,3-0,Eintracht Frankfurt,1994-95
Feb 17 1995,MSV Duisburg,2-0,KFC Uerdingen,1994-95
Feb 18 1995,VfL Bochum,1-2,Bayern Munich,1994-95
Feb 18 1995,Hamburger SV,0-2,VfB Stuttgart,1994-95
Feb 18 1995,1. FC Kaiserslautern,1-0,Bayer 04 Leverkusen,1994-95
Feb 18 1995,Bor. Mönchengladbach,0-1,FC Schalke 04,1994-95
Feb 18 1995,TSV 1860 Munich,1-5,Borussia Dortmund,1994-95
Feb 18 1995,Werder Bremen,1-0,Dynamo Dresden,1994-95
Feb 25 1995,Bayern Munich,2-2,SC Freiburg,1994-95
Feb 25 1995,Borussia Dortmund,2-1,1. FC Köln,1994-95
Feb 25 1995,Dynamo Dresden,0-2,VfL Bochum,1994-95
Feb 25 1995,Eintracht Frankfurt,1-3,1. FC Kaiserslautern,1994-95
Feb 25 1995,KFC Uerdingen,4-1,Hamburger SV,1994-95
Feb 25 1995,FC Schalke 04,0-0,MSV Duisburg,1994-95
Feb 25 1995,VfB Stuttgart,1-1,TSV 1860 Munich,1994-95
Feb 25 1995,Bayer 04 Leverkusen,1-2,Werder Bremen,1994-95
Feb 26 1995,Karlsruher SC,2-4,Bor. Mönchengladbach,1994-95
Mar 4 1995,Eintracht Frankfurt,2-0,Bayer 04 Leverkusen,1994-95
Mar 4 1995,MSV Duisburg,0-0,Karlsruher SC,1994-95
Mar 4 1995,VfL Bochum,1-3,Werder Bremen,1994-95
Mar 4 1995,SC Freiburg,3-1,Dynamo Dresden,1994-95
Mar 4 1995,Bor. Mönchengladbach,2-2,Bayern Munich,1994-95
Mar 4 1995,1. FC Kaiserslautern,1-0,Borussia Dortmund,1994-95
Mar 4 1995,Hamburger SV,3-0,FC Schalke 04,1994-95
Mar 5 1995,1. FC Köln,1-0,VfB Stuttgart,1994-95
Mar 10 1995,Werder Bremen,5-1,SC Freiburg,1994-95
Mar 10 1995,Bayern Munich,1-1,MSV Duisburg,1994-95
Mar 11 1995,Borussia Dortmund,1-1,Eintracht Frankfurt,1994-95
Mar 11 1995,KFC Uerdingen,0-0,1. FC Köln,1994-95
Mar 11 1995,Dynamo Dresden,0-3,Bor. Mönchengladbach,1994-95
Mar 11 1995,Karlsruher SC,2-0,Hamburger SV,1994-95
Mar 11 1995,Bayer 04 Leverkusen,1-3,VfL Bochum,1994-95
Mar 11 1995,VfB Stuttgart,2-2,1. FC Kaiserslautern,1994-95
Mar 12 1995,FC Schalke 04,6-2,TSV 1860 Munich,1994-95
Mar 17 1995,Bor. Mönchengladbach,2-0,Werder Bremen,1994-95
Mar 17 1995,1. FC Kaiserslautern,1-1,KFC Uerdingen,1994-95
Mar 18 1995,Borussia Dortmund,0-3,Bayer 04 Leverkusen,1994-95
Mar 18 1995,TSV 1860 Munich,1-0,Karlsruher SC,1994-95
Mar 18 1995,Eintracht Frankfurt,2-2,VfB Stuttgart,1994-95
Mar 18 1995,1. FC Köln,5-1,FC Schalke 04,1994-95
Mar 18 1995,Hamburger SV,1-1,Bayern Munich,1994-95
Mar 18 1995,SC Freiburg,1-2,VfL Bochum,1994-95
Mar 19 1995,MSV Duisburg,1-1,Dynamo Dresden,1994-95
Mar 21 1995,TSV 1860 Munich,1-1,KFC Uerdingen,1994-95
Mar 25 1995,Karlsruher SC,0-0,1. FC Köln,1994-95
Mar 25 1995,VfL Bochum,0-2,Bor. Mönchengladbach,1994-95
Mar 25 1995,Dynamo Dresden,1-1,Hamburger SV,1994-95
Mar 25 1995,Bayern Munich,1-0,TSV 1860 Munich,1994-95
Mar 25 1995,Bayer 04 Leverkusen,2-4,SC Freiburg,1994-95
Mar 25 1995,FC Schalke 04,0-1,1. FC Kaiserslautern,1994-95
Mar 25 1995,VfB Stuttgart,0-0,Borussia Dortmund,1994-95
Mar 25 1995,Werder Bremen,5-1,MSV Duisburg,1994-95
Mar 25 1995,KFC Uerdingen,1-1,Eintracht Frankfurt,1994-95
Mar 31 1995,MSV Duisburg,3-1,VfL Bochum,1994-95
Mar 31 1995,Eintracht Frankfurt,0-3,FC Schalke 04,1994-95
Apr 1 1995,1. FC Köln,3-1,Bayern Munich,1994-95
Apr 1 1995,Borussia Dortmund,3-1,KFC Uerdingen,1994-95
Apr 1 1995,1. FC Kaiserslautern,0-0,Karlsruher SC,1994-95
Apr 1 1995,Bor. Mönchengladbach,1-2,SC Freiburg,1994-95
Apr 1 1995,TSV 1860 Munich,3-1,Dynamo Dresden,1994-95
Apr 1 1995,VfB Stuttgart,4-2,Bayer 04 Leverkusen,1994-95
Apr 2 1995,Hamburger SV,0-0,Werder Bremen,1994-95
Apr 7 1995,VfL Bochum,0-0,Hamburger SV,1994-95
Apr 7 1995,KFC Uerdingen,4-1,VfB Stuttgart,1994-95
Apr 8 1995,Dynamo Dresden,1-3,1. FC Köln,1994-95
Apr 8 1995,Bayern Munich,1-1,1. FC Kaiserslautern,1994-95
Apr 8 1995,SC Freiburg,3-0,MSV Duisburg,1994-95
Apr 8 1995,Karlsruher SC,1-1,Eintracht Frankfurt,1994-95
Apr 8 1995,Bayer 04 Leverkusen,3-1,Bor. Mönchengladbach,1994-95
Apr 8 1995,FC Schalke 04,0-0,Borussia Dortmund,1994-95
Apr 9 1995,Werder Bremen,2-0,TSV 1860 Munich,1994-95
Apr 13 1995,Hamburger SV,1-2,SC Freiburg,1994-95
Apr 13 1995,Borussia Dortmund,2-1,Karlsruher SC,1994-95
Apr 13 1995,KFC Uerdingen,0-1,Bayer 04 Leverkusen,1994-95
Apr 15 1995,MSV Duisburg,0-2,Bor. Mönchengladbach,1994-95
Apr 15 1995,Eintracht Frankfurt,2-0,Bayern Munich,1994-95
Apr 15 1995,1. FC Köln,1-1,Werder Bremen,1994-95
Apr 15 1995,VfB Stuttgart,1-1,FC Schalke 04,1994-95
Apr 15 1995,1. FC Kaiserslautern,3-1,Dynamo Dresden,1994-95
Apr 16 1995,TSV 1860 Munich,4-0,VfL Bochum,1994-95
Apr 21 1995,Karlsruher SC,3-1,VfB Stuttgart,1994-95
Apr 21 1995,VfL Bochum,1-0,1. FC Köln,1994-95
Apr 21 1995,Bor. Mönchengladbach,2-1,Hamburger SV,1994-95
Apr 22 1995,Bayern Munich,2-1,Borussia Dortmund,1994-95
Apr 22 1995,Dynamo Dresden,1-2,Eintracht Frankfurt,1994-95
Apr 22 1995,SC Freiburg,1-1,TSV 1860 Munich,1994-95
Apr 22 1995,Bayer 04 Leverkusen,2-0,MSV Duisburg,1994-95
Apr 22 1995,FC Schalke 04,2-0,KFC Uerdingen,1994-95
Apr 22 1995,Werder Bremen,2-2,1. FC Kaiserslautern,1994-95
Apr 28 1995,1. FC Köln,2-0,SC Freiburg,1994-95
Apr 28 1995,Hamburger SV,3-0,MSV Duisburg,1994-95
Apr 29 1995,TSV 1860 Munich,2-0,Bor. Mönchengladbach,1994-95
Apr 29 1995,1. FC Kaiserslautern,3-1,VfL Bochum,1994-95
Apr 29 1995,Borussia Dortmund,2-0,Dynamo Dresden,1994-95
Apr 29 1995,FC Schalke 04,3-2,Bayer 04 Leverkusen,1994-95
Apr 29 1995,VfB Stuttgart,0-2,Bayern Munich,1994-95
Apr 29 1995,KFC Uerdingen,0-0,Karlsruher SC,1994-95
Apr 30 1995,Eintracht Frankfurt,0-0,Werder Bremen,1994-95
May 5 1995,MSV Duisburg,1-1,TSV 1860 Munich,1994-95
May 5 1995,SC Freiburg,4-1,1. FC Kaiserslautern,1994-95
May 6 1995,Dynamo Dresden,1-1,VfB Stuttgart,1994-95
May 6 1995,VfL Bochum,0-1,Eintracht Frankfurt,1994-95
May 6 1995,Bayern Munich,2-1,KFC Uerdingen,1994-95
May 6 1995,Karlsruher SC,2-2,FC Schalke 04,1994-95
May 6 1995,Bayer 04 Leverkusen,3-1,Hamburger SV,1994-95
May 6 1995,Bor. Mönchengladbach,0-0,1. FC Köln,1994-95
May 7 1995,Werder Bremen,3-1,Borussia Dortmund,1994-95
May 12 1995,Karlsruher SC,2-4,Bayer 04 Leverkusen,1994-95
May 12 1995,KFC Uerdingen,3-1,Dynamo Dresden,1994-95
May 13 1995,1. FC Köln,0-3,MSV Duisburg,1994-95
May 13 1995,Eintracht Frankfurt,1-2,SC Freiburg,1994-95
May 13 1995,Borussia Dortmund,3-1,VfL Bochum,1994-95
May 13 1995,1. FC Kaiserslautern,2-2,Bor. Mönchengladbach,1994-95
May 13 1995,TSV 1860 Munich,1-1,Hamburger SV,1994-95
May 13 1995,VfB Stuttgart,1-4,Werder Bremen,1994-95
May 14 1995,FC Schalke 04,0-3,Bayern Munich,1994-95
May 19 1995,Hamburger SV,0-4,1. FC Köln,1994-95
May 19 1995,Bayer 04 Leverkusen,0-2,TSV 1860 Munich,1994-95
May 20 1995,Dynamo Dresden,2-1,FC Schalke 04,1994-95
May 20 1995,VfL Bochum,4-0,VfB Stuttgart,1994-95
May 20 1995,Bayern Munich,0-1,Karlsruher SC,1994-95
May 20 1995,MSV Duisburg,3-2,1. FC Kaiserslautern,1994-95
May 20 1995,SC Freiburg,1-1,Borussia Dortmund,1994-95
May 20 1995,Werder Bremen,6-1,KFC Uerdingen,1994-95
May 21 1995,Bor. Mönchengladbach,2-0,Eintracht Frankfurt,1994-95
May 26 1995,1. FC Kaiserslautern,4-1,Hamburger SV,1994-95
May 26 1995,TSV 1860 Munich,2-1,1. FC Köln,1994-95
May 27 1995,Karlsruher SC,5-3,Dynamo Dresden,1994-95
May 27 1995,Eintracht Frankfurt,4-1,MSV Duisburg,1994-95
May 27 1995,KFC Uerdingen,2-1,VfL Bochum,1994-95
May 27 1995,FC Schalke 04,4-2,Werder Bremen,1994-95
May 27 1995,VfB Stuttgart,1-0,SC Freiburg,1994-95
May 27 1995,Bayer 04 Leverkusen,2-0,Bayern Munich,1994-95
May 28 1995,Borussia Dortmund,1-1,Bor. Mönchengladbach,1994-95
Jun 10 1995,1. FC Köln,3-3,Bayer 04 Leverkusen,1994-95
Jun 10 1995,Dynamo Dresden,0-1,Bayern Munich,1994-95
Jun 10 1995,MSV Duisburg,2-3,Borussia Dortmund,1994-95
Jun 10 1995,Werder Bremen,2-1,Karlsruher SC,1994-95
Jun 10 1995,SC Freiburg,1-0,KFC Uerdingen,1994-95
Jun 10 1995,Hamburger SV,3-1,Eintracht Frankfurt,1994-95
Jun 10 1995,Bor. Mönchengladbach,3-1,VfB Stuttgart,1994-95
Jun 10 1995,TSV 1860 Munich,1-3,1. FC Kaiserslautern,1994-95
Jun 10 1995,VfL Bochum,5-1,FC Schalke 04,1994-95
Jun 17 1995,Bayern Munich,3-1,Werder Bremen,1994-95
Jun 17 1995,Borussia Dortmund,2-0,Hamburger SV,1994-95
Jun 17 1995,Eintracht Frankfurt,3-1,TSV 1860 Munich,1994-95
Jun 17 1995,1. FC Kaiserslautern,3-1,1. FC Köln,1994-95
Jun 17 1995,Karlsruher SC,2-2,VfL Bochum,1994-95
Jun 17 1995,Bayer 04 Leverkusen,2-2,Dynamo Dresden,1994-95
Jun 17 1995,FC Schalke 04,1-2,SC Freiburg,1994-95
Jun 17 1995,VfB Stuttgart,3-1,MSV Duisburg,1994-95
Jun 17 1995,KFC Uerdingen,3-2,Bor. Mönchengladbach,1994-95
Aug 11 1995,Borussia Dortmund,1-1,1. FC Kaiserslautern,1995-96
Aug 11 1995,VfB Stuttgart,0-0,KFC Uerdingen,1995-96
Aug 11 1995,Werder Bremen,1-1,Fortuna Düsseldorf,1995-96
Aug 12 1995,Bayern Munich,3-2,Hamburger SV,1995-96
Aug 12 1995,Eintracht Frankfurt,2-2,Karlsruher SC,1995-96
Aug 12 1995,FC St. Pauli,4-2,TSV 1860 Munich,1995-96
Aug 12 1995,Hansa Rostock,1-2,Bayer 04 Leverkusen,1995-96
Aug 12 1995,1. FC Köln,0-1,FC Schalke 04,1995-96
Aug 13 1995,Bor. Mönchengladbach,1-0,SC Freiburg,1995-96
Aug 18 1995,SC Freiburg,0-2,FC St. Pauli,1995-96
Aug 18 1995,Hamburger SV,3-3,Werder Bremen,1995-96
Aug 18 1995,FC Schalke 04,1-3,Hansa Rostock,1995-96
Aug 19 1995,1. FC Kaiserslautern,1-3,Bor. Mönchengladbach,1995-96
Aug 19 1995,Karlsruher SC,2-6,Bayern Munich,1995-96
Aug 19 1995,Bayer 04 Leverkusen,1-1,Borussia Dortmund,1995-96
Aug 19 1995,TSV 1860 Munich,1-1,VfB Stuttgart,1995-96
Aug 19 1995,KFC Uerdingen,1-1,Eintracht Frankfurt,1995-96
Aug 20 1995,Fortuna Düsseldorf,1-1,1. FC Köln,1995-96
Aug 29 1995,1. FC Köln,3-2,Hamburger SV,1995-96
Aug 29 1995,Hansa Rostock,3-2,Borussia Dortmund,1995-96
Aug 29 1995,Bor. Mönchengladbach,0-0,Bayer 04 Leverkusen,1995-96
Aug 29 1995,FC St. Pauli,1-2,1. FC Kaiserslautern,1995-96
Aug 29 1995,Werder Bremen,1-0,Karlsruher SC,1995-96
Aug 30 1995,Bayern Munich,2-0,KFC Uerdingen,1995-96
Aug 30 1995,Eintracht Frankfurt,4-2,TSV 1860 Munich,1995-96
Aug 30 1995,FC Schalke 04,1-1,Fortuna Düsseldorf,1995-96
Aug 30 1995,VfB Stuttgart,3-1,SC Freiburg,1995-96
Sep 1 1995,Borussia Dortmund,2-1,Bor. Mönchengladbach,1995-96
Sep 1 1995,Karlsruher SC,1-0,1. FC Köln,1995-96
Sep 2 1995,Fortuna Düsseldorf,2-2,Hansa Rostock,1995-96
Sep 2 1995,SC Freiburg,2-0,Eintracht Frankfurt,1995-96
Sep 2 1995,Hamburger SV,1-1,FC Schalke 04,1995-96
Sep 2 1995,1. FC Kaiserslautern,1-1,VfB Stuttgart,1995-96
Sep 2 1995,KFC Uerdingen,3-0,Werder Bremen,1995-96
Sep 2 1995,TSV 1860 Munich,0-2,Bayern Munich,1995-96
Sep 2 1995,Bayer 04 Leverkusen,1-1,FC St. Pauli,1995-96
Sep 8 1995,1. FC Köln,0-0,KFC Uerdingen,1995-96
Sep 8 1995,Werder Bremen,2-0,TSV 1860 Munich,1995-96
Sep 9 1995,Eintracht Frankfurt,3-1,1. FC Kaiserslautern,1995-96
Sep 9 1995,VfB Stuttgart,1-4,Bayer 04 Leverkusen,1995-96
